"COUNTRY","Country","SEX","Sex","FIELD","Field of education","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,1540,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,1614,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,1679,,
"AUS","Australia","M","Men","F06","Information and Communication Technologies","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,1631,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,36071,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,36333,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,35032.957,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,37168.898,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,35848.217,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,118603,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,120765,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,130263.148,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,133485.194,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,121452.177,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,21481,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,21037,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,16336.195,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,16995.639,,
"AUS","Australia","F","Women","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2017","2017","PER","Persons","0","Units",,,17841.273,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2013","2013","PER","Persons","0","Units",,,72017,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2014","2014","PER","Persons","0","Units",,,72030,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2015","2015","PER","Persons","0","Units",,,64242.672,,
"AUS","Australia","M","Men","F07","Engineering, manufacturing and construction","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","T","All educational programmes","2016","2016","PER","Persons","0","Units",,,64857.825,,
