"location","subject","time","mean.score"
"IDN","TOT",2012,375
"IDN","TOT",2015,386
"IDN","TOT",2018,379
"ISR","TOT",2006,442
"ISR","TOT",2009,447
"ISR","TOT",2012,466
"ISR","TOT",2015,470
"ISR","TOT",2018,463
"LVA","TOT",2003,483
"LVA","TOT",2006,486
"LVA","TOT",2009,482
"LVA","TOT",2012,491
"LVA","TOT",2015,482
"LVA","TOT",2018,496
"RUS","TOT",2003,468
"RUS","TOT",2006,476
"RUS","TOT",2009,468
"RUS","TOT",2012,482
"RUS","TOT",2015,494
"RUS","TOT",2018,488
"SGP","BOY",2015,564
"SGP","GIRL",2015,564
"SVN","TOT",2006,504
"SVN","TOT",2009,501
"SVN","TOT",2012,501
"SVN","TOT",2015,510
"SVN","TOT",2018,509
"OAVG","TOT",2006,494
"OAVG","TOT",2009,495
"OAVG","TOT",2012,494
"OAVG","TOT",2015,490
"OAVG","TOT",2018,489
"COL","TOT",2015,390
"COL","TOT",2018,391
"COL","BOY",2015,395
"COL","BOY",2018,401
"COL","GIRL",2015,384
"COL","GIRL",2018,381
"HKG","TOT",2015,548
"HKG","BOY",2015,549
"HKG","GIRL",2015,547
"PER","TOT",2015,387
"PER","BOY",2015,391
"PER","GIRL",2015,382
"SGP","TOT",2015,564
"TWN","TOT",2015,542
"TWN","BOY",2015,545
"TWN","GIRL",2015,539
"MAC","TOT",2015,544
"MAC","BOY",2015,540
"MAC","GIRL",2015,548
"CRI","TOT",2018,402
"CRI","BOY",2018,411
"CRI","GIRL",2018,394
"LTU","TOT",2018,481
"LTU","BOY",2018,480
"LTU","GIRL",2018,482
