"country","sex","field","level.of.education","year","percent","flags"
"Belgium","M","Services","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.843,""
"Belgium","F","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,0.799,""
"Belgium","M","Services","Master’s or equivalent level (ISCED2011 level 7)",2017,1.308,""
"Belgium","F","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.417,""
"Belgium","M","Services","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.142,""
"Canada","F","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Canada","M","Generic programmes and qualifications","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0,""
"Canada","F","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Canada","M","Generic programmes and qualifications","Master’s or equivalent level (ISCED2011 level 7)",2017,0,""
"Canada","F","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Canada","M","Generic programmes and qualifications","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0,""
"Canada","F","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.106,""
"Canada","M","Education","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.347,""
"Canada","F","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,12.458,""
"Canada","M","Education","Master’s or equivalent level (ISCED2011 level 7)",2017,4.978,""
"Canada","F","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.211,""
"Canada","M","Education","Doctoral or equivalent level  (ISCED2011 level 8)",2017,2.628,""
"Canada","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,12.427,""
"Canada","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.859,""
"Canada","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,5.753,""
"Canada","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,4.884,""
"Canada","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.408,""
"Canada","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.029,""
"Canada","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,24.152,""
"Canada","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,16.762,""
"Canada","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,11.094,""
"Canada","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,7.288,""
"Canada","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,24.141,""
"Canada","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.241,""
"Canada","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.223,""
"Canada","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,27.388,""
"Canada","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,28.801,""
"Canada","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,34.513,""
"Canada","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.845,""
"Canada","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,3.991,""
"Canada","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.275,""
"Canada","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,10.54,""
"Canada","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,5.903,""
"Canada","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,7.254,""
"Canada","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,25.746,""
"Canada","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.527,""
"Canada","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.782,""
"Canada","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,4.42,""
"Canada","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,2.664,""
"Canada","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,4.305,""
"Canada","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,1.775,""
"Canada","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,4.94,""
"Canada","F","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.352,""
"Canada","M","Engineering, manufacturing and construction","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,17.134,""
"Canada","F","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,6.57,""
"Canada","M","Engineering, manufacturing and construction","Master’s or equivalent level (ISCED2011 level 7)",2017,20.714,""
"Canada","F","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,10.901,""
"Canada","M","Engineering, manufacturing and construction","Doctoral or equivalent level  (ISCED2011 level 8)",2017,30.567,""
"Canada","F","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.626,""
"Canada","M","Agriculture, forestry, fisheries and veterinary","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.675,""
"Canada","F","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,2.629,""
"Canada","M","Agriculture, forestry, fisheries and veterinary","Master’s or equivalent level (ISCED2011 level 7)",2017,1.947,""
