"","country","sex","age","numeracy.level","year","earn.month","flags"
"400","Israel","M","25-64 years","Level (4/5)",2015,4300,""
"401","Lithuania","F","25-64 years","Level (0/1)",2015,20,""
"402","Lithuania","M","25-64 years","Level (0/1)",2015,20,""
"403","Lithuania","F","25-64 years","Level (2)",2015,40,""
"404","Lithuania","M","25-64 years","Level (2)",2015,39,""
"405","Lithuania","F","25-64 years","Level (3)",2015,32,""
"406","Lithuania","M","25-64 years","Level (3)",2015,31,""
"407","Lithuania","F","25-64 years","Level (4/5)",2015,9,""
"408","Lithuania","M","25-64 years","Level (4/5)",2015,11,""
"409","Lithuania","F","25-64 years","Level (0/1)",2015,2700,""
"410","Lithuania","M","25-64 years","Level (0/1)",2015,3800,""
"411","Lithuania","F","25-64 years","Level (2)",2015,3300,""
"412","Lithuania","M","25-64 years","Level (2)",2015,4200,""
"413","Lithuania","F","25-64 years","Level (3)",2015,4000,""
"414","Lithuania","M","25-64 years","Level (3)",2015,4900,""
"415","Lithuania","F","25-64 years","Level (4/5)",2015,4900,""
"416","Lithuania","M","25-64 years","Level (4/5)",2015,6500,""
"417","Russia","F","25-64 years","Level (0/1)",2012,13,""
"418","Russia","M","25-64 years","Level (0/1)",2012,16,""
"419","Russia","F","25-64 years","Level (2)",2012,41,""
"420","Russia","M","25-64 years","Level (2)",2012,38,""
"421","Russia","F","25-64 years","Level (3)",2012,38,""
"422","Russia","M","25-64 years","Level (3)",2012,38,""
"423","Russia","F","25-64 years","Level (4/5)",2012,8,""
"424","Russia","M","25-64 years","Level (4/5)",2012,8,""
"425","Russia","F","25-64 years","Level (0/1)",2012,700,""
"426","Russia","M","25-64 years","Level (0/1)",2012,800,""
"427","Russia","F","25-64 years","Level (2)",2012,700,""
"428","Russia","M","25-64 years","Level (2)",2012,900,""
"429","Russia","F","25-64 years","Level (3)",2012,800,""
"430","Russia","M","25-64 years","Level (3)",2012,1100,""
"431","Russia","F","25-64 years","Level (4/5)",2012,900,""
"432","Russia","M","25-64 years","Level (4/5)",2012,1100,""
"433","Singapore","F","25-64 years","Level (0/1)",2015,35,""
"434","Singapore","M","25-64 years","Level (0/1)",2015,28,""
"435","Singapore","F","25-64 years","Level (2)",2015,29,""
"436","Singapore","M","25-64 years","Level (2)",2015,24,""
"437","Singapore","F","25-64 years","Level (3)",2015,27,""
"438","Singapore","M","25-64 years","Level (3)",2015,31,""
"439","Singapore","F","25-64 years","Level (4/5)",2015,8,""
"440","Singapore","M","25-64 years","Level (4/5)",2015,16,""
"441","Singapore","F","25-64 years","Level (0/1)",2015,1700,""
"442","Singapore","M","25-64 years","Level (0/1)",2015,2300,""
"443","Singapore","F","25-64 years","Level (2)",2015,3300,""
"444","Singapore","M","25-64 years","Level (2)",2015,3600,""
"445","Singapore","F","25-64 years","Level (3)",2015,4400,""
"446","Singapore","M","25-64 years","Level (3)",2015,5700,""
"447","Singapore","F","25-64 years","Level (4/5)",2015,5700,""
"448","Singapore","M","25-64 years","Level (4/5)",2015,7200,""
"449","Slovenia","F","25-64 years","Level (0/1)",2015,29,""
"450","Slovenia","M","25-64 years","Level (0/1)",2015,26,""
"451","Slovenia","F","25-64 years","Level (2)",2015,35,""
"452","Slovenia","M","25-64 years","Level (2)",2015,34,""
"453","Slovenia","F","25-64 years","Level (3)",2015,29,""
"454","Slovenia","M","25-64 years","Level (3)",2015,30,""
"455","Slovenia","F","25-64 years","Level (4/5)",2015,7,""
"456","Slovenia","M","25-64 years","Level (4/5)",2015,10,""
"457","Slovenia","F","25-64 years","Level (0/1)",2015,1500,""
"458","Slovenia","M","25-64 years","Level (0/1)",2015,1600,""
"459","Slovenia","F","25-64 years","Level (2)",2015,1900,""
