"","country","sex","field","level.of.education","year","percent","flags"
"218","Belgium","F","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.411,""
"219","Belgium","M","Arts and humanities","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.337,""
"220","Belgium","T","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,11.894,""
"221","Belgium","F","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,13.776,""
"222","Belgium","M","Arts and humanities","Master’s or equivalent level (ISCED2011 level 7)",2017,9.493,""
"223","Belgium","T","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,11.286,""
"224","Belgium","F","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.75,""
"225","Belgium","M","Arts and humanities","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.598,""
"226","Belgium","T","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,7.778,""
"227","Belgium","F","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,9.337,""
"228","Belgium","M","Social sciences, journalism and information","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,5.276,""
"229","Belgium","T","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,14.123,""
"230","Belgium","F","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,17.067,""
"231","Belgium","M","Social sciences, journalism and information","Master’s or equivalent level (ISCED2011 level 7)",2017,10.365,""
"232","Belgium","T","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,12.284,""
"233","Belgium","F","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,15.5,""
"234","Belgium","M","Social sciences, journalism and information","Doctoral or equivalent level  (ISCED2011 level 8)",2017,9.537,""
"235","Belgium","T","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,21.73,""
"236","Belgium","F","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,19.147,""
"237","Belgium","M","Business, administration and law","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,25.876,""
"238","Belgium","T","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,25.387,""
"239","Belgium","F","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,24.454,""
"240","Belgium","M","Business, administration and law","Master’s or equivalent level (ISCED2011 level 7)",2017,26.578,""
"241","Belgium","T","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.639,""
"242","Belgium","F","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.917,""
"243","Belgium","M","Business, administration and law","Doctoral or equivalent level  (ISCED2011 level 8)",2017,7.402,""
"244","Belgium","T","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.414,""
"245","Belgium","F","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,1.427,""
"246","Belgium","M","Natural sciences, mathematics and statistics","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,3.998,""
"247","Belgium","T","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,5.062,""
"248","Belgium","F","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,4.17,""
"249","Belgium","M","Natural sciences, mathematics and statistics","Master’s or equivalent level (ISCED2011 level 7)",2017,6.199,""
"250","Belgium","T","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,23.109,""
"251","Belgium","F","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,19.25,""
"252","Belgium","M","Natural sciences, mathematics and statistics","Doctoral or equivalent level  (ISCED2011 level 8)",2017,26.406,""
"253","Belgium","T","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,2.766,""
"254","Belgium","F","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,0.387,""
"255","Belgium","M","Information and Communication Technologies","Bachelor’s or equivalent level (ISCED2011 level 6)",2017,6.585,""
"256","Belgium","T","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,0.771,""
"257","Belgium","F","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,0.24,""
"258","Belgium","M","Information and Communication Technologies","Master’s or equivalent level (ISCED2011 level 7)",2017,1.449,""
"259","Belgium","T","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.537,""
"260","Belgium","F","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.083,""
"261","Belgium","M","Information and Communication Technologies","Doctoral or equivalent level  (ISCED2011 level 8)",2017,0.925,""
